gameid,side,result,team kpm,ckpm,firstdragon,dragons,opp_dragons,elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,goldspent,gspd,gpr,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,top_champ,jng_champ,mid_champ,bot_champ,sup_champ
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
ESPORTSTMNT05_3249273,Blue,1,1.012,1.6627,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,92800.0,3354.2169,3763.012,2698.1205,72.0,2.6024,15.0,0.5422,20.0,172.0,6.2169,59431,41121.0,1486.3012,55333.0,0.261536,3.03,685.0,198.0,,,31.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnar,Nocturne,Neeko,Jinx,Rell
ESPORTSTMNT05_3249273,Red,0,0.6506,1.6627,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,7.0,0.0,2.0,66367.0,2398.8072,4220.9639,4058.8916,44.0,1.5904,13.0,0.4699,4.0,103.0,3.7229,48299,29989.0,1083.9398,42535.0,-0.261536,-3.03,536.0,137.0,,,24.3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sett,Rumble,K'Sante,Seraphine,Senna
